"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2020,117,"ACBarrett",0.984,0.315,0.985,0.365,1.606
2021,117,"ACBarrett",1.035,0.265,1.029,0.528,1.554
2022,117,"ACBarrett",0.795,0.279,0.785,0.274,1.37
2023,117,"ACBarrett",0.685,0.301,0.677,0.121,1.306
1965,97,"AFortas",-1.34,0.271,-1.325,-1.91,-0.847
1966,97,"AFortas",-1.521,0.222,-1.508,-1.979,-1.111
1967,97,"AFortas",-1.363,0.223,-1.354,-1.837,-0.953
1968,97,"AFortas",-1.102,0.289,-1.084,-1.712,-0.57
1962,96,"AJGoldberg",-1.154,0.224,-1.147,-1.638,-0.746
1963,96,"AJGoldberg",-1.281,0.206,-1.276,-1.708,-0.895
1964,96,"AJGoldberg",-0.787,0.265,-0.776,-1.321,-0.298
1987,106,"AMKennedy",1.223,0.274,1.213,0.705,1.765
1988,106,"AMKennedy",1.484,0.23,1.484,1.037,1.936
1989,106,"AMKennedy",1.352,0.22,1.343,0.944,1.801
1990,106,"AMKennedy",1.199,0.22,1.19,0.783,1.658
1991,106,"AMKennedy",0.856,0.205,0.85,0.476,1.259
1992,106,"AMKennedy",1.035,0.216,1.033,0.629,1.467
1993,106,"AMKennedy",0.871,0.227,0.871,0.433,1.315
1994,106,"AMKennedy",0.847,0.214,0.838,0.437,1.266
1995,106,"AMKennedy",0.743,0.211,0.743,0.344,1.157
1996,106,"AMKennedy",0.831,0.212,0.827,0.408,1.263
1997,106,"AMKennedy",0.816,0.228,0.808,0.395,1.276
1998,106,"AMKennedy",0.947,0.23,0.934,0.532,1.422
1999,106,"AMKennedy",1.084,0.237,1.083,0.624,1.572
2000,106,"AMKennedy",0.964,0.225,0.956,0.542,1.417
2001,106,"AMKennedy",1.055,0.225,1.052,0.623,1.506
2002,106,"AMKennedy",0.899,0.237,0.899,0.448,1.388
2003,106,"AMKennedy",0.765,0.224,0.755,0.337,1.214
2004,106,"AMKennedy",0.54,0.227,0.532,0.109,1.004
2005,106,"AMKennedy",0.499,0.227,0.498,0.051,0.955
2006,106,"AMKennedy",0.457,0.197,0.461,0.084,0.84
2007,106,"AMKennedy",0.42,0.217,0.417,-0.008,0.841
2008,106,"AMKennedy",0.58,0.206,0.577,0.18,0.977
2009,106,"AMKennedy",0.513,0.215,0.506,0.089,0.94
2010,106,"AMKennedy",0.57,0.213,0.565,0.172,0.997
2011,106,"AMKennedy",0.291,0.214,0.285,-0.107,0.721
2012,106,"AMKennedy",0.245,0.199,0.248,-0.154,0.635
2013,106,"AMKennedy",0.07,0.225,0.071,-0.376,0.518
2014,106,"AMKennedy",-0.226,0.21,-0.223,-0.64,0.179
2015,106,"AMKennedy",-0.268,0.232,-0.261,-0.73,0.185
2016,106,"AMKennedy",-0.049,0.233,-0.051,-0.499,0.416
2017,106,"AMKennedy",0.397,0.236,0.39,-0.067,0.864
1986,105,"AScalia",1.39,0.236,1.384,0.954,1.874
1987,105,"AScalia",1.644,0.249,1.636,1.178,2.155
1988,105,"AScalia",1.813,0.256,1.812,1.336,2.347
1989,105,"AScalia",1.988,0.277,1.986,1.479,2.542
